Solution Algo,Maze Algo,Multiple,Size,Time,Nv,Nde,Steps,Path Length,Maze Shortest Path
BFS,DFS,0,601,176973,76689,19458,76688,14667,14667
RIGHT HAND RULE,DFS,0,601,368375,79545,35883,144422,14667,14667
BFS,PRIM,0,601,363767,170105,27586,170104,1535,1535
RIGHT HAND RULE,PRIM,0,601,183972,37803,12007,74070,1535,1535
BFS,HUNT_AND_KILL,0,601,142578,62028,12148,62027,1275,1275
RIGHT HAND RULE,HUNT_AND_KILL,0,601,525972,100649,39487,200022,1275,1275
BFS,RECURSIVE_DIVISION,0,601,461094,209071,7238,209070,7405,7405
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,178176,46952,3273,67600,8825,7405
BFS,DFS,0,601,280128,127471,31970,127470,23339,23339
RIGHT HAND RULE,DFS,0,601,526544,114271,51071,205202,23339,23339
BFS,PRIM,0,601,293594,136290,21873,136289,1479,1479
RIGHT HAND RULE,PRIM,0,601,153685,31575,9887,61670,1479,1479
BFS,HUNT_AND_KILL,0,601,383931,180001,35292,180000,1283,1283
RIGHT HAND RULE,HUNT_AND_KILL,0,601,423960,82205,32046,163126,1283,1283
BFS,RECURSIVE_DIVISION,0,601,363136,167321,5923,167320,6105,6105
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,397677,98523,7287,146628,7231,6105
BFS,DFS,0,601,145681,63206,15885,63205,11031,11031
RIGHT HAND RULE,DFS,0,601,694236,141101,67550,271170,11031,11031
BFS,PRIM,0,601,351430,164366,26550,164365,1387,1387
RIGHT HAND RULE,PRIM,0,601,202808,40747,12912,80106,1387,1387
BFS,HUNT_AND_KILL,0,601,346428,162164,31808,162163,1335,1335
RIGHT HAND RULE,HUNT_AND_KILL,0,601,288111,57309,22176,113282,1335,1335
BFS,RECURSIVE_DIVISION,0,601,443460,205373,7308,205372,9091,9091
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,248357,65238,4678,94010,10803,9091
BFS,DFS,0,601,275252,125532,31555,125531,18815,18815
RIGHT HAND RULE,DFS,0,601,529847,113213,51737,207610,18815,18815
BFS,PRIM,0,601,131675,57418,9281,57417,1303,1303
RIGHT HAND RULE,PRIM,0,601,362070,71151,23018,140998,1303,1303
BFS,HUNT_AND_KILL,0,601,221444,101365,19632,101364,1371,1371
RIGHT HAND RULE,HUNT_AND_KILL,0,601,336340,66995,25900,132618,1371,1371
BFS,RECURSIVE_DIVISION,0,601,348179,159766,5414,159765,12537,12537
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,244571,64982,4233,91070,14869,12537
BFS,DFS,0,601,122842,52180,13418,52179,10871,10871
RIGHT HAND RULE,DFS,0,601,488716,101657,47924,192442,10871,10871
BFS,PRIM,0,601,304777,141797,22799,141796,1507,1507
RIGHT HAND RULE,PRIM,0,601,139329,28823,9068,56138,1507,1507
BFS,HUNT_AND_KILL,0,601,364098,170668,33369,170667,1247,1247
RIGHT HAND RULE,HUNT_AND_KILL,0,601,363123,70533,27561,139818,1247,1247
BFS,RECURSIVE_DIVISION,0,601,445699,206793,7305,206792,13329,13329
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,439976,108901,7937,157638,15885,13329
BFS,DFS,0,601,161424,70720,17786,70719,15807,15807
RIGHT HAND RULE,DFS,0,601,210319,50421,21098,85034,15807,15807
BFS,PRIM,0,601,307954,143352,23094,143351,1355,1355
RIGHT HAND RULE,PRIM,0,601,285154,56553,17965,111750,1355,1355
BFS,HUNT_AND_KILL,0,601,383526,179931,35277,179930,1243,1243
RIGHT HAND RULE,HUNT_AND_KILL,0,601,447751,87297,33976,173350,1243,1243
BFS,RECURSIVE_DIVISION,0,601,314859,144705,5183,144704,5421,5421
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,679738,162732,12543,245658,6303,5421
BFS,DFS,0,601,307226,140527,35129,140526,26767,26767
RIGHT HAND RULE,DFS,0,601,530221,117333,51765,207898,26767,26767
BFS,PRIM,0,601,156572,69929,11166,69928,1327,1327
RIGHT HAND RULE,PRIM,0,601,463435,89735,28766,178142,1327,1327
BFS,HUNT_AND_KILL,0,601,194527,88026,17018,88025,1263,1263
RIGHT HAND RULE,HUNT_AND_KILL,0,601,558133,107705,41872,214146,1263,1263
BFS,RECURSIVE_DIVISION,0,601,387427,178707,5936,178706,11885,11885
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,487231,119805,8412,176014,13623,11885
BFS,DFS,0,601,151200,65857,16705,65856,13351,13351
RIGHT HAND RULE,DFS,0,601,718342,146655,69788,279958,13351,13351
BFS,PRIM,0,601,362872,170033,27574,170032,1443,1443
RIGHT HAND RULE,PRIM,0,601,177971,36159,11446,70874,1443,1443
BFS,HUNT_AND_KILL,0,601,384001,180001,35342,180000,1271,1271
RIGHT HAND RULE,HUNT_AND_KILL,0,601,353618,69479,26906,137686,1271,1271
BFS,RECURSIVE_DIVISION,0,601,255361,115829,3995,115828,5701,5701
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,77575,22737,1441,31058,6827,5701
BFS,DFS,0,601,248306,112555,28209,112554,19455,19455
RIGHT HAND RULE,DFS,0,601,293500,67733,28824,116010,19455,19455
BFS,PRIM,0,601,383720,179997,29168,179996,1315,1315
RIGHT HAND RULE,PRIM,0,601,577670,111689,36171,222062,1315,1315
BFS,HUNT_AND_KILL,0,601,368418,172753,33929,172752,1259,1259
RIGHT HAND RULE,HUNT_AND_KILL,0,601,575720,110271,43202,219282,1259,1259
BFS,RECURSIVE_DIVISION,0,601,347034,159112,5377,159111,10119,10119
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,618621,153977,10715,228462,11807,10119
BFS,DFS,0,601,137892,59541,15133,59540,11263,11263
RIGHT HAND RULE,DFS,0,601,675726,138333,65967,265402,11263,11263
BFS,PRIM,0,601,176244,78926,12618,78925,1363,1363
RIGHT HAND RULE,PRIM,0,601,297200,59297,18916,117230,1363,1363
BFS,HUNT_AND_KILL,0,601,378555,177507,34837,177506,1431,1431
RIGHT HAND RULE,HUNT_AND_KILL,0,601,144278,29753,11382,58074,1431,1431
BFS,RECURSIVE_DIVISION,0,601,426471,197664,6858,197663,8851,8851
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,493733,118762,8378,176664,10351,8851
BFS,DFS,0,601,260642,118525,29727,118524,22479,22479
RIGHT HAND RULE,DFS,0,601,625763,133401,60934,244322,22479,22479
BFS,PRIM,0,601,321510,149959,24079,149958,1359,1359
RIGHT HAND RULE,PRIM,0,601,610778,115943,37277,230526,1359,1359
BFS,HUNT_AND_KILL,0,601,367267,171937,33699,171936,1279,1279
RIGHT HAND RULE,HUNT_AND_KILL,0,601,645217,123607,48531,245934,1279,1279
BFS,RECURSIVE_DIVISION,0,601,449434,209232,7156,209231,12815,12815
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,483713,120526,8648,177076,15095,12815
BFS,DFS,0,601,177239,78336,19780,78335,16327,16327
RIGHT HAND RULE,DFS,0,601,333321,73719,32562,131110,16327,16327
BFS,PRIM,0,601,383713,180001,29034,180000,1311,1311
RIGHT HAND RULE,PRIM,0,601,496918,97345,31049,193378,1311,1311
BFS,HUNT_AND_KILL,0,601,376786,176586,34527,176585,1315,1315
RIGHT HAND RULE,HUNT_AND_KILL,0,601,594515,113561,44430,225806,1315,1315
BFS,RECURSIVE_DIVISION,0,601,444222,206139,7197,206138,9403,9403
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,468192,118371,8457,175130,11265,9403
BFS,DFS,0,601,138745,59935,15220,59934,12179,12179
RIGHT HAND RULE,DFS,0,601,598868,123377,58414,234574,12179,12179
BFS,PRIM,0,601,372832,175315,28349,175314,1363,1363
RIGHT HAND RULE,PRIM,0,601,268297,53729,17103,106094,1363,1363
BFS,HUNT_AND_KILL,0,601,356599,166867,32695,166866,1391,1391
RIGHT HAND RULE,HUNT_AND_KILL,0,601,712812,135859,53246,270326,1391,1391
BFS,RECURSIVE_DIVISION,0,601,275084,125272,4285,125271,4887,4887
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,315039,79240,5763,117936,5787,4887
BFS,DFS,0,601,171468,75205,19008,75204,16523,16523
RIGHT HAND RULE,DFS,0,601,658663,137961,64665,259398,16523,16523
BFS,PRIM,0,601,321857,149969,24161,149968,1683,1683
RIGHT HAND RULE,PRIM,0,601,813658,154405,49784,307126,1683,1683
BFS,HUNT_AND_KILL,0,601,383829,179999,35384,179998,1255,1255
RIGHT HAND RULE,HUNT_AND_KILL,0,601,416255,81381,31803,161506,1255,1255
BFS,RECURSIVE_DIVISION,0,601,431281,200069,7009,200068,9879,9879
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,550109,135262,9912,201118,11625,9879
BFS,DFS,0,601,72632,27827,7286,27826,8371,8371
RIGHT HAND RULE,DFS,0,601,589479,120335,57962,232298,8371,8371
BFS,PRIM,0,601,162113,72254,11488,72253,1375,1375
RIGHT HAND RULE,PRIM,0,601,555467,106551,34303,211726,1375,1375
BFS,HUNT_AND_KILL,0,601,316786,147583,28779,147582,1279,1279
RIGHT HAND RULE,HUNT_AND_KILL,0,601,287084,56441,21797,111602,1279,1279
BFS,RECURSIVE_DIVISION,0,601,450140,208815,7087,208814,11751,11751
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,420152,106525,7178,155840,13879,11751
BFS,DFS,0,601,357503,165262,41280,165261,31559,31559
RIGHT HAND RULE,DFS,0,601,486990,110671,47287,189782,31559,31559
BFS,PRIM,0,601,383335,180001,29139,180000,1291,1291
RIGHT HAND RULE,PRIM,0,601,370883,73373,23501,145454,1291,1291
BFS,HUNT_AND_KILL,0,601,332052,154952,30163,154951,1531,1531
RIGHT HAND RULE,HUNT_AND_KILL,0,601,130460,27361,10283,53190,1531,1531
BFS,RECURSIVE_DIVISION,0,601,447962,207761,7138,207760,13775,13775
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,546026,136632,9803,200500,16279,13775
BFS,DFS,0,601,182337,80189,20165,80188,16539,16539
RIGHT HAND RULE,DFS,0,601,468229,100807,45922,185074,16539,16539
BFS,PRIM,0,601,374941,176067,28488,176066,1363,1363
RIGHT HAND RULE,PRIM,0,601,651471,123347,39743,245330,1363,1363
BFS,HUNT_AND_KILL,0,601,383683,179973,35564,179972,1235,1235
RIGHT HAND RULE,HUNT_AND_KILL,0,601,484136,93317,36515,185398,1235,1235
BFS,RECURSIVE_DIVISION,0,601,307608,140788,4945,140787,4297,4297
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,158233,40539,2874,59044,5119,4297
BFS,DFS,0,601,187880,83701,21021,83700,14851,14851
RIGHT HAND RULE,DFS,0,601,262812,60055,26079,105258,14851,14851
BFS,PRIM,0,601,262307,121106,19339,121105,1351,1351
RIGHT HAND RULE,PRIM,0,601,567407,109903,35247,218454,1351,1351
BFS,HUNT_AND_KILL,0,601,366235,171686,33571,171685,1259,1259
RIGHT HAND RULE,HUNT_AND_KILL,0,601,492086,94663,36798,188066,1259,1259
BFS,RECURSIVE_DIVISION,0,601,453144,210524,7491,210523,6101,6101
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,382097,96667,6924,141984,7249,6101
BFS,DFS,0,601,111533,46523,11883,46522,12895,12895
RIGHT HAND RULE,DFS,0,601,395550,85273,39141,157650,12895,12895
BFS,PRIM,0,601,332125,155120,24880,155119,1503,1503
RIGHT HAND RULE,PRIM,0,601,164927,33933,10661,66362,1503,1503
BFS,HUNT_AND_KILL,0,601,383482,179800,35229,179799,1263,1263
RIGHT HAND RULE,HUNT_AND_KILL,0,601,430381,84111,32850,166958,1263,1263
BFS,RECURSIVE_DIVISION,0,601,395759,182945,6858,182944,7799,7799
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,447667,111818,9033,166430,9283,7799
BFS,DFS,0,601,151440,65823,16647,65822,15503,15503
RIGHT HAND RULE,DFS,0,601,708670,146479,69169,277454,15503,15503
BFS,PRIM,0,601,383492,179997,29183,179996,1463,1463
RIGHT HAND RULE,PRIM,0,601,695526,133151,42906,264838,1463,1463
BFS,HUNT_AND_KILL,0,601,345971,161854,31620,161853,1547,1547
RIGHT HAND RULE,HUNT_AND_KILL,0,601,170182,34811,13343,68074,1547,1547
BFS,RECURSIVE_DIVISION,0,601,430041,199478,6987,199477,12077,12077
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,340597,84728,5833,122194,14375,12077
BFS,DFS,0,601,382864,177536,44209,177535,29327,29327
RIGHT HAND RULE,DFS,0,601,532142,118773,51865,208218,29327,29327
BFS,PRIM,0,601,383634,179951,29271,179950,1315,1315
RIGHT HAND RULE,PRIM,0,601,332464,65583,21121,129850,1315,1315
BFS,HUNT_AND_KILL,0,601,324085,151239,29540,151238,1579,1579
RIGHT HAND RULE,HUNT_AND_KILL,0,601,833296,159585,62608,317590,1579,1579
BFS,RECURSIVE_DIVISION,0,601,171818,75619,2730,75618,5257,5257
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,148381,39256,2848,56540,6221,5257
BFS,DFS,0,601,257254,116678,29255,116677,25411,25411
RIGHT HAND RULE,DFS,0,601,447909,100663,43686,175914,25411,25411
BFS,PRIM,0,601,363826,170732,27752,170731,1395,1395
RIGHT HAND RULE,PRIM,0,601,287811,57269,18402,113142,1395,1395
BFS,HUNT_AND_KILL,0,601,335292,156797,30690,156796,1263,1263
RIGHT HAND RULE,HUNT_AND_KILL,0,601,406595,78899,30928,156534,1263,1263
BFS,RECURSIVE_DIVISION,0,601,449715,208673,7312,208672,13277,13277
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,446949,111539,7858,162174,15647,13277
BFS,DFS,0,601,195023,86523,21768,86522,18895,18895
RIGHT HAND RULE,DFS,0,601,261685,61091,25649,103286,18895,18895
BFS,PRIM,0,601,383565,179999,29281,179998,1311,1311
RIGHT HAND RULE,PRIM,0,601,429491,83935,27090,166558,1311,1311
BFS,HUNT_AND_KILL,0,601,254291,116997,22839,116996,1291,1291
RIGHT HAND RULE,HUNT_AND_KILL,0,601,545783,104251,40820,207210,1291,1291
BFS,RECURSIVE_DIVISION,0,601,450053,208565,7068,208564,14763,14763
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,442376,108926,7366,159294,17333,14763
BFS,DFS,0,601,222763,100212,25262,100211,21011,21011
RIGHT HAND RULE,DFS,0,601,592676,126383,57733,231754,21011,21011
BFS,PRIM,0,601,293455,136493,21907,136492,1307,1307
RIGHT HAND RULE,PRIM,0,601,383378,75015,24056,148722,1307,1307
BFS,HUNT_AND_KILL,0,601,253468,116633,22811,116632,1271,1271
RIGHT HAND RULE,HUNT_AND_KILL,0,601,412339,79881,31321,158490,1271,1271
BFS,RECURSIVE_DIVISION,0,601,415529,192415,6752,192414,7137,7137
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,424144,106176,7602,157288,8443,7137
BFS,DFS,0,601,190212,84692,21345,84691,16287,16287
RIGHT HAND RULE,DFS,0,601,303291,68067,29815,119846,16287,16287
BFS,PRIM,0,601,384029,179991,29234,179990,1367,1367
RIGHT HAND RULE,PRIM,0,601,349379,68987,22299,136606,1367,1367
BFS,HUNT_AND_KILL,0,601,369633,173287,33958,173286,1323,1323
RIGHT HAND RULE,HUNT_AND_KILL,0,601,615365,117261,45750,233198,1323,1323
BFS,RECURSIVE_DIVISION,0,601,440976,204653,6931,204652,12449,12449
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,416125,100229,6847,146208,14483,12449
BFS,DFS,0,601,251091,113640,28637,113639,22831,22831
RIGHT HAND RULE,DFS,0,601,551185,118951,53651,215070,22831,22831
BFS,PRIM,0,601,226533,103581,16654,103580,1331,1331
RIGHT HAND RULE,PRIM,0,601,459460,88823,28736,176314,1331,1331
BFS,HUNT_AND_KILL,0,601,272534,126123,24575,126122,1451,1451
RIGHT HAND RULE,HUNT_AND_KILL,0,601,776566,146429,57048,291406,1451,1451
BFS,RECURSIVE_DIVISION,0,601,400784,185198,6278,185197,12297,12297
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,393643,95967,6591,138876,14433,12297
BFS,DFS,0,601,168931,73842,18586,73841,17123,17123
RIGHT HAND RULE,DFS,0,601,233287,54607,22765,92090,17123,17123
BFS,PRIM,0,601,205959,93647,15200,93646,1419,1419
RIGHT HAND RULE,PRIM,0,601,401387,79475,25827,157530,1419,1419
BFS,HUNT_AND_KILL,0,601,383915,180000,35421,179999,1227,1227
RIGHT HAND RULE,HUNT_AND_KILL,0,601,487557,93865,36745,186502,1227,1227
BFS,RECURSIVE_DIVISION,0,601,415621,192308,6755,192307,8733,8733
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,177827,46671,3310,66224,10353,8733
BFS,DFS,0,601,387455,178806,44454,178805,34179,34179
RIGHT HAND RULE,DFS,0,601,530402,120373,51372,206566,34179,34179
BFS,PRIM,0,601,383241,180001,29212,180000,1311,1311
RIGHT HAND RULE,PRIM,0,601,568298,109135,35363,216958,1311,1311
BFS,HUNT_AND_KILL,0,601,301205,140415,27282,140414,1387,1387
RIGHT HAND RULE,HUNT_AND_KILL,0,601,166699,34567,13061,67746,1387,1387
BFS,RECURSIVE_DIVISION,0,601,449136,208433,7480,208432,9663,9663
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,589948,144753,10859,215588,11335,9663
BFS,DFS,0,601,78422,30645,7941,30644,8235,8235
RIGHT HAND RULE,DFS,0,601,535281,109807,52653,211378,8235,8235
BFS,PRIM,0,601,383690,179997,29260,179996,1475,1475
RIGHT HAND RULE,PRIM,0,601,354268,70255,22505,139034,1475,1475
BFS,HUNT_AND_KILL,0,601,293816,136674,26630,136673,1503,1503
RIGHT HAND RULE,HUNT_AND_KILL,0,601,81783,17809,6589,34114,1503,1503
BFS,RECURSIVE_DIVISION,0,601,262935,119813,4240,119812,6209,6209
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,530983,127851,9453,191962,7331,6209
BFS,DFS,0,601,229034,103062,25996,103061,18547,18547
RIGHT HAND RULE,DFS,0,601,635730,133749,62019,248950,18547,18547
BFS,PRIM,0,601,383265,179999,29262,179998,1331,1331
RIGHT HAND RULE,PRIM,0,601,559966,107627,34766,213922,1331,1331
BFS,HUNT_AND_KILL,0,601,266495,123260,24109,123259,1479,1479
RIGHT HAND RULE,HUNT_AND_KILL,0,601,91780,19719,7344,37958,1479,1479
BFS,RECURSIVE_DIVISION,0,601,321324,146791,5112,146790,9011,9011
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,652706,154690,11360,231736,10661,9011
BFS,DFS,0,601,346730,160351,40135,160350,28267,28267
RIGHT HAND RULE,DFS,0,601,474185,105941,45747,183614,28267,28267
BFS,PRIM,0,601,312057,145288,23335,145287,1435,1435
RIGHT HAND RULE,PRIM,0,601,679381,128669,41297,255902,1435,1435
BFS,HUNT_AND_KILL,0,601,383782,180001,35371,180000,1259,1259
RIGHT HAND RULE,HUNT_AND_KILL,0,601,471248,93217,36411,185174,1259,1259
BFS,RECURSIVE_DIVISION,0,601,401051,184949,6632,184948,11491,11491
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,403721,101905,7359,149466,13617,11491
BFS,DFS,0,601,221144,99436,25027,99435,17791,17791
RIGHT HAND RULE,DFS,0,601,540118,115545,53005,213298,17791,17791
BFS,PRIM,0,601,186005,83936,13402,83935,1363,1363
RIGHT HAND RULE,PRIM,0,601,233906,46919,14948,92474,1363,1363
BFS,HUNT_AND_KILL,0,601,276268,127928,24857,127927,1287,1287
RIGHT HAND RULE,HUNT_AND_KILL,0,601,588670,112647,43791,224006,1287,1287
BFS,RECURSIVE_DIVISION,0,601,363016,167157,5797,167156,8709,8709
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,202662,52233,3611,75222,10271,8709
BFS,DFS,0,601,331868,152663,38297,152662,26911,26911
RIGHT HAND RULE,DFS,0,601,400313,92393,39239,157874,26911,26911
BFS,PRIM,0,601,359726,168806,27058,168805,1323,1323
RIGHT HAND RULE,PRIM,0,601,345162,66903,21236,132482,1323,1323
BFS,HUNT_AND_KILL,0,601,378312,177571,34704,177570,1355,1355
RIGHT HAND RULE,HUNT_AND_KILL,0,601,211790,42909,16536,84462,1355,1355
BFS,RECURSIVE_DIVISION,0,601,401203,185317,6712,185316,10559,10559
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,443163,112297,8594,165384,12661,10559
BFS,DFS,0,601,203060,90833,22914,90832,21235,21235
RIGHT HAND RULE,DFS,0,601,408400,90773,39851,160310,21235,21235
BFS,PRIM,0,601,358885,167828,26972,167827,1563,1563
RIGHT HAND RULE,PRIM,0,601,787332,150357,48249,299150,1563,1563
BFS,HUNT_AND_KILL,0,601,380636,178836,35102,178835,1255,1255
RIGHT HAND RULE,HUNT_AND_KILL,0,601,355444,69457,26942,137658,1255,1255
BFS,RECURSIVE_DIVISION,0,601,451859,209514,7072,209513,13631,13631
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,437157,108762,7411,158516,15863,13631
BFS,DFS,0,601,145141,62835,15835,62834,13771,13771
RIGHT HAND RULE,DFS,0,601,702116,143851,68284,273930,13771,13771
BFS,PRIM,0,601,268736,124316,19850,124315,1639,1639
RIGHT HAND RULE,PRIM,0,601,76704,16369,4988,31098,1639,1639
BFS,HUNT_AND_KILL,0,601,383544,180001,35271,180000,1227,1227
RIGHT HAND RULE,HUNT_AND_KILL,0,601,446146,86639,33636,172050,1227,1227
BFS,RECURSIVE_DIVISION,0,601,368503,170045,6083,170044,8251,8251
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,396395,95406,6911,142614,9591,8251
BFS,DFS,0,601,179969,79116,19977,79115,18467,18467
RIGHT HAND RULE,DFS,0,601,657059,137093,63843,255718,18467,18467
BFS,PRIM,0,601,337239,157870,25474,157869,1587,1587
RIGHT HAND RULE,PRIM,0,601,749961,143885,46158,286182,1587,1587
BFS,HUNT_AND_KILL,0,601,247979,114101,22077,114100,1363,1363
RIGHT HAND RULE,HUNT_AND_KILL,0,601,169923,34775,13184,68186,1363,1363
BFS,RECURSIVE_DIVISION,0,601,337773,154557,5281,154556,12245,12245
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,538007,128373,9432,187854,14663,12245
BFS,DFS,0,601,284417,130027,32598,130026,23623,23623
RIGHT HAND RULE,DFS,0,601,515637,112707,50413,201790,23623,23623
BFS,PRIM,0,601,343852,160846,25860,160845,1663,1663
RIGHT HAND RULE,PRIM,0,601,93389,19839,6132,38014,1663,1663
BFS,HUNT_AND_KILL,0,601,237198,108707,21180,108706,1331,1331
RIGHT HAND RULE,HUNT_AND_KILL,0,601,499985,96477,37796,191622,1331,1331
BFS,RECURSIVE_DIVISION,0,601,332073,152555,5496,152554,6397,6397
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,409731,99525,7529,148474,7635,6397
BFS,DFS,0,601,341227,157381,39319,157380,24843,24843
RIGHT HAND RULE,DFS,0,601,532014,116027,51651,207210,24843,24843
BFS,PRIM,0,601,351937,164763,26638,164762,1307,1307
RIGHT HAND RULE,PRIM,0,601,457430,88651,28570,175994,1307,1307
BFS,HUNT_AND_KILL,0,601,383267,180001,35316,180000,1287,1287
RIGHT HAND RULE,HUNT_AND_KILL,0,601,630252,122391,47762,243494,1287,1287
BFS,RECURSIVE_DIVISION,0,601,298328,136829,4665,136828,6803,6803
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,169996,43591,3070,62902,7979,6803
BFS,DFS,0,601,351481,162159,40563,162158,29095,29095
RIGHT HAND RULE,DFS,0,601,485137,109475,47387,189854,29095,29095
BFS,PRIM,0,601,167219,74769,11928,74768,1331,1331
RIGHT HAND RULE,PRIM,0,601,616502,118571,38010,235810,1331,1331
BFS,HUNT_AND_KILL,0,601,383506,179989,35391,179988,1279,1279
RIGHT HAND RULE,HUNT_AND_KILL,0,601,346257,69225,26904,137170,1279,1279
BFS,RECURSIVE_DIVISION,0,601,451912,209555,7510,209554,7475,7475
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,278023,70832,5040,103390,9045,7475
BFS,DFS,0,601,342093,157718,39441,157717,27307,27307
RIGHT HAND RULE,DFS,0,601,444156,100249,43123,173190,27307,27307
BFS,PRIM,0,601,281403,130279,20827,130278,1439,1439
RIGHT HAND RULE,PRIM,0,601,730271,137599,44003,273758,1439,1439
BFS,HUNT_AND_KILL,0,601,360355,168827,33018,168826,1423,1423
RIGHT HAND RULE,HUNT_AND_KILL,0,601,162502,33269,12722,65114,1423,1423
BFS,RECURSIVE_DIVISION,0,601,447513,207908,7277,207907,9417,9417
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,401265,98315,7078,144492,11107,9417
BFS,DFS,0,601,164372,72109,18227,72108,15691,15691
RIGHT HAND RULE,DFS,0,601,691612,142397,67235,269102,15691,15691
BFS,PRIM,0,601,382894,179820,29070,179819,1327,1327
RIGHT HAND RULE,PRIM,0,601,502282,96309,30971,191290,1327,1327
BFS,HUNT_AND_KILL,0,601,377896,177211,34787,177210,1315,1315
RIGHT HAND RULE,HUNT_AND_KILL,0,601,683426,130129,50933,258942,1315,1315
BFS,RECURSIVE_DIVISION,0,601,367813,169462,5826,169461,9151,9151
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,261858,65070,4906,94824,10917,9151
BFS,DFS,0,601,372655,171500,42796,171499,33331,33331
RIGHT HAND RULE,DFS,0,601,519923,117787,50431,202242,33331,33331
BFS,PRIM,0,601,225652,103201,16468,103200,1291,1291
RIGHT HAND RULE,PRIM,0,601,362002,70529,22466,139766,1291,1291
BFS,HUNT_AND_KILL,0,601,360952,169489,33000,169488,1227,1227
RIGHT HAND RULE,HUNT_AND_KILL,0,601,518057,98703,38328,196178,1227,1227
BFS,RECURSIVE_DIVISION,0,601,357092,164398,5684,164397,7475,7475
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,282142,72028,5318,105254,8823,7475
BFS,DFS,0,601,275216,125109,31338,125108,26479,26479
RIGHT HAND RULE,DFS,0,601,363543,84383,35417,142286,26479,26479
BFS,PRIM,0,601,317110,147740,23924,147739,1411,1411
RIGHT HAND RULE,PRIM,0,601,673798,127903,41354,254394,1411,1411
BFS,HUNT_AND_KILL,0,601,251964,116196,22597,116195,1251,1251
RIGHT HAND RULE,HUNT_AND_KILL,0,601,399393,77673,30282,154094,1251,1251
BFS,RECURSIVE_DIVISION,0,601,412923,191834,6549,191833,8347,8347
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,449008,112089,8153,166874,9935,8347
BFS,DFS,0,601,89576,36068,9140,36067,8887,8887
RIGHT HAND RULE,DFS,0,601,794129,159205,77197,309522,8887,8887
BFS,PRIM,0,601,297477,138247,22249,138246,1427,1427
RIGHT HAND RULE,PRIM,0,601,578280,110469,35494,219510,1427,1427
BFS,HUNT_AND_KILL,0,601,384004,180001,35325,180000,1275,1275
RIGHT HAND RULE,HUNT_AND_KILL,0,601,357127,70493,27376,139710,1275,1275
BFS,RECURSIVE_DIVISION,0,601,431663,199796,6901,199795,15689,15689
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,469603,115866,8389,168096,18313,15689
BFS,DFS,0,601,122886,51996,13345,51995,12931,12931
RIGHT HAND RULE,DFS,0,601,426390,90933,42021,168934,12931,12931
BFS,PRIM,0,601,380468,178639,28832,178638,1359,1359
RIGHT HAND RULE,PRIM,0,601,253156,51093,16231,100826,1359,1359
BFS,HUNT_AND_KILL,0,601,302298,140565,27552,140564,1303,1303
RIGHT HAND RULE,HUNT_AND_KILL,0,601,275064,54495,21117,107686,1303,1303
BFS,RECURSIVE_DIVISION,0,601,378627,174463,5876,174462,12997,12997
