Solution Algo,Maze Algo,Multiple,Size,Time,Nv,Nde,Steps,Path Length,Maze Shortest Path
BFS,DFS,0,761,45032,60741,15419,60740,14891,14891
RIGHT HAND RULE,DFS,0,761,390912,255339,123542,495786,14891,14891
BFS,PRIM,0,761,194590,288800,46713,288799,1675,1675
RIGHT HAND RULE,PRIM,0,761,200283,131613,42250,261550,1675,1675
BFS,HUNT_AND_KILL,0,761,152239,227022,44406,227021,1771,1771
RIGHT HAND RULE,HUNT_AND_KILL,0,761,343052,215369,84157,428966,1771,1771
BFS,RECURSIVE_DIVISION,0,761,222295,328957,11292,328956,17207,17207
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,212053,174456,12160,257278,19799,17207
BFS,DFS,0,761,86149,123437,31040,123436,21199,21199
RIGHT HAND RULE,DFS,0,761,311603,209777,99412,398354,21199,21199
BFS,PRIM,0,761,123116,180478,29039,180477,1643,1643
RIGHT HAND RULE,PRIM,0,761,181093,117855,38118,234066,1643,1643
BFS,HUNT_AND_KILL,0,761,175610,262098,51429,262097,1695,1695
RIGHT HAND RULE,HUNT_AND_KILL,0,761,348408,221803,87108,441910,1695,1695
BFS,RECURSIVE_DIVISION,0,761,229275,336262,11911,336261,16177,16177
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,246655,199032,14744,295436,19145,16177
BFS,DFS,0,761,101501,146322,36925,146321,29595,29595
RIGHT HAND RULE,DFS,0,761,252706,177281,80966,324966,29595,29595
BFS,PRIM,0,761,187608,278999,45120,278998,1923,1923
RIGHT HAND RULE,PRIM,0,761,90294,61389,19587,120854,1923,1923
BFS,HUNT_AND_KILL,0,761,194662,288793,56739,288792,1615,1615
RIGHT HAND RULE,HUNT_AND_KILL,0,761,224107,145027,56674,288438,1615,1615
BFS,RECURSIVE_DIVISION,0,761,94924,136133,4894,136132,8347,8347
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,56223,49399,3361,70148,9875,8347
BFS,DFS,0,761,138212,198521,49909,198520,35503,35503
RIGHT HAND RULE,DFS,0,761,242812,172631,77169,309758,35503,35503
BFS,PRIM,0,761,130943,194738,31460,194737,1795,1795
RIGHT HAND RULE,PRIM,0,761,111402,74727,23946,147658,1795,1795
BFS,HUNT_AND_KILL,0,761,194696,288791,56445,288790,1607,1607
RIGHT HAND RULE,HUNT_AND_KILL,0,761,252106,163921,63958,326234,1607,1607
BFS,RECURSIVE_DIVISION,0,761,108854,156646,5502,156645,6813,6813
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,100839,84188,6335,124602,8091,6813
BFS,DFS,0,761,88880,125927,31762,125926,27455,27455
RIGHT HAND RULE,DFS,0,761,318304,214467,100183,401478,27455,27455
BFS,PRIM,0,761,181731,271827,44075,271826,1779,1779
RIGHT HAND RULE,PRIM,0,761,326028,205683,66667,409586,1779,1779
BFS,HUNT_AND_KILL,0,761,193316,288783,56590,288782,1671,1671
RIGHT HAND RULE,HUNT_AND_KILL,0,761,311682,201149,78532,400626,1671,1671
BFS,RECURSIVE_DIVISION,0,761,214614,314522,11364,314521,12847,12847
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,256549,205272,15471,305920,15003,12847
BFS,DFS,0,761,184911,270810,67782,270809,47047,47047
RIGHT HAND RULE,DFS,0,761,242296,178409,77281,309770,47047,47047
BFS,PRIM,0,761,144483,213513,34388,213512,1899,1899
RIGHT HAND RULE,PRIM,0,761,397065,247373,79824,492846,1899,1899
BFS,HUNT_AND_KILL,0,761,187039,278631,54671,278630,1755,1755
RIGHT HAND RULE,HUNT_AND_KILL,0,761,325476,208043,81364,414330,1755,1755
BFS,RECURSIVE_DIVISION,0,761,227303,331928,11649,331927,15503,15503
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,270259,215456,15530,320224,18315,15503
BFS,DFS,0,761,85982,122063,30967,122062,25747,25747
RIGHT HAND RULE,DFS,0,761,247066,172105,79251,318462,25747,25747
BFS,PRIM,0,761,151810,225000,36339,224999,1983,1983
RIGHT HAND RULE,PRIM,0,761,77003,52887,16785,103790,1983,1983
BFS,HUNT_AND_KILL,0,761,160573,236403,46306,236402,1791,1791
RIGHT HAND RULE,HUNT_AND_KILL,0,761,77571,52751,20390,103710,1791,1791
BFS,RECURSIVE_DIVISION,0,761,227860,336206,11871,336205,17897,17897
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,235873,187347,13455,275278,20771,17897
BFS,DFS,0,761,138571,201592,50465,201591,36967,36967
RIGHT HAND RULE,DFS,0,761,260972,185247,82979,333526,36967,36967
BFS,PRIM,0,761,189072,281510,45523,281509,1655,1655
RIGHT HAND RULE,PRIM,0,761,223666,143865,46430,286074,1655,1655
BFS,HUNT_AND_KILL,0,761,194310,288776,56874,288775,1671,1671
RIGHT HAND RULE,HUNT_AND_KILL,0,761,147202,97203,37938,192734,1671,1671
BFS,RECURSIVE_DIVISION,0,761,128312,185954,6493,185953,8641,8641
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,120301,100333,7355,148096,10137,8641
BFS,DFS,0,761,39560,52216,13434,52215,12663,12663
RIGHT HAND RULE,DFS,0,761,266717,177687,85435,342710,12663,12663
BFS,PRIM,0,761,153532,228723,36823,228722,1983,1983
RIGHT HAND RULE,PRIM,0,761,60424,41819,13264,81654,1983,1983
BFS,HUNT_AND_KILL,0,761,195073,288800,56721,288799,1571,1571
RIGHT HAND RULE,HUNT_AND_KILL,0,761,199597,128945,50452,256318,1571,1571
BFS,RECURSIVE_DIVISION,0,761,224669,330893,11539,330892,16907,16907
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,284602,221993,15817,329030,19955,16907
BFS,DFS,0,761,97987,139985,35270,139984,24935,24935
RIGHT HAND RULE,DFS,0,761,166548,120327,53728,215718,24935,24935
BFS,PRIM,0,761,194012,287212,46574,287211,1619,1619
RIGHT HAND RULE,PRIM,0,761,233696,147829,47727,294038,1619,1619
BFS,HUNT_AND_KILL,0,761,195373,288797,57075,288796,1611,1611
RIGHT HAND RULE,HUNT_AND_KILL,0,761,221159,145237,57165,288862,1611,1611
BFS,RECURSIVE_DIVISION,0,761,228035,334777,11129,334776,16673,16673
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,188629,151725,10492,222726,19191,16673
BFS,DFS,0,761,120884,176704,44475,176703,29207,29207
RIGHT HAND RULE,DFS,0,761,217029,153139,69135,277070,29207,29207
BFS,PRIM,0,761,193051,287167,46591,287166,1659,1659
RIGHT HAND RULE,PRIM,0,761,249990,159931,51674,318202,1659,1659
