Algo,Multiple,Size,Time,Ni,Nde,Shortest Path
DFS,0,21,95,35,45,59
PRIM,0,21,95,26,31,43
HUNT_AND_KILL,0,21,77,31,38,39
RECURSIVE_DIVISION,0,21,585,70,17,95
DFS,0,21,75,37,45,51
PRIM,0,21,86,23,30,43
HUNT_AND_KILL,0,21,74,33,38,39
RECURSIVE_DIVISION,0,21,488,108,11,87
DFS,0,21,69,35,47,95
PRIM,0,21,86,25,33,43
HUNT_AND_KILL,0,21,73,33,37,39
RECURSIVE_DIVISION,0,21,553,102,13,65
DFS,0,21,74,36,44,39
PRIM,0,21,86,30,37,39
HUNT_AND_KILL,0,21,113,27,39,43
RECURSIVE_DIVISION,0,21,562,125,10,59
DFS,0,21,73,35,43,39
PRIM,0,21,126,26,34,39
HUNT_AND_KILL,0,21,75,29,38,39
RECURSIVE_DIVISION,0,21,531,105,11,77
DFS,0,21,69,33,45,39
PRIM,0,21,90,26,31,47
HUNT_AND_KILL,0,21,77,30,37,43
RECURSIVE_DIVISION,0,21,538,114,10,41
DFS,0,21,68,36,46,51
PRIM,0,21,82,24,31,39
HUNT_AND_KILL,0,21,72,28,42,39
RECURSIVE_DIVISION,0,21,440,126,8,39
DFS,0,21,66,36,46,63
PRIM,0,21,81,25,30,47
HUNT_AND_KILL,0,21,74,30,37,43
RECURSIVE_DIVISION,0,21,456,131,9,45
DFS,0,21,73,30,40,59
PRIM,0,21,81,26,32,43
HUNT_AND_KILL,0,21,71,31,40,39
RECURSIVE_DIVISION,0,21,508,116,13,69
DFS,0,21,69,32,45,39
PRIM,0,21,81,27,33,43
HUNT_AND_KILL,0,21,69,27,34,39
RECURSIVE_DIVISION,0,21,424,141,8,43
DFS,0,21,69,36,45,59
PRIM,0,21,81,25,31,51
HUNT_AND_KILL,0,21,73,29,38,39
RECURSIVE_DIVISION,0,21,448,125,12,49
DFS,0,21,67,34,43,75
PRIM,0,21,84,25,33,43
HUNT_AND_KILL,0,21,68,33,47,43
RECURSIVE_DIVISION,0,21,548,114,8,49
DFS,0,21,72,32,47,55
PRIM,0,21,83,25,32,43
HUNT_AND_KILL,0,21,69,30,38,39
RECURSIVE_DIVISION,0,21,515,97,17,43
DFS,0,21,70,34,42,51
PRIM,0,21,84,23,28,39
HUNT_AND_KILL,0,21,79,23,31,39
RECURSIVE_DIVISION,0,21,600,118,5,43
DFS,0,21,69,36,46,83
PRIM,0,21,81,27,33,39
HUNT_AND_KILL,0,21,73,30,41,39
RECURSIVE_DIVISION,0,21,559,107,12,45
DFS,0,21,67,35,46,39
PRIM,0,21,81,27,32,43
HUNT_AND_KILL,0,21,70,30,37,39
RECURSIVE_DIVISION,0,21,463,122,10,51
DFS,0,21,68,36,47,55
PRIM,0,21,82,29,40,39
HUNT_AND_KILL,0,21,72,26,33,39
RECURSIVE_DIVISION,0,21,509,121,12,69
DFS,0,21,68,36,45,47
PRIM,0,21,80,25,32,43
HUNT_AND_KILL,0,21,72,27,36,43
RECURSIVE_DIVISION,0,21,536,112,13,55
DFS,0,21,68,36,45,79
PRIM,0,21,84,29,35,39
HUNT_AND_KILL,0,21,70,28,36,39
RECURSIVE_DIVISION,0,21,408,119,9,59
DFS,0,21,68,35,45,51
PRIM,0,21,84,25,30,39
HUNT_AND_KILL,0,21,77,31,36,39
RECURSIVE_DIVISION,0,21,495,113,12,65
DFS,0,21,69,31,42,63
PRIM,0,21,81,26,34,43
HUNT_AND_KILL,0,21,73,31,41,43
RECURSIVE_DIVISION,0,21,530,123,14,55
DFS,0,21,66,37,44,91
PRIM,0,21,81,25,29,51
HUNT_AND_KILL,0,21,77,28,35,39
RECURSIVE_DIVISION,0,21,431,105,12,71
DFS,0,21,69,35,48,51
PRIM,0,21,83,26,33,39
HUNT_AND_KILL,0,21,74,31,38,39
RECURSIVE_DIVISION,0,21,565,112,7,53
DFS,0,21,69,36,46,43
PRIM,0,21,85,26,33,39
HUNT_AND_KILL,0,21,71,30,39,43
RECURSIVE_DIVISION,0,21,445,121,12,39
DFS,0,21,69,35,43,51
PRIM,0,21,84,27,36,47
HUNT_AND_KILL,0,21,69,31,39,39
RECURSIVE_DIVISION,0,21,432,115,11,75
DFS,0,21,67,37,46,39
PRIM,0,21,81,26,32,39
HUNT_AND_KILL,0,21,69,32,43,39
RECURSIVE_DIVISION,0,21,481,101,10,69
DFS,0,21,70,38,45,51
PRIM,0,21,86,27,33,43
HUNT_AND_KILL,0,21,73,25,38,51
RECURSIVE_DIVISION,0,21,516,130,7,49
DFS,0,21,68,37,44,47
PRIM,0,21,83,27,32,39
HUNT_AND_KILL,0,21,79,32,39,39
RECURSIVE_DIVISION,0,21,558,91,18,81
DFS,0,21,67,34,46,43
PRIM,0,21,81,26,33,39
HUNT_AND_KILL,0,21,76,27,34,39
RECURSIVE_DIVISION,0,21,457,89,13,43
DFS,0,21,67,35,43,47
PRIM,0,21,80,31,36,39
HUNT_AND_KILL,0,21,74,30,39,43
RECURSIVE_DIVISION,0,21,425,90,14,51
DFS,0,21,69,34,44,47
PRIM,0,21,82,20,26,43
HUNT_AND_KILL,0,21,75,29,38,39
RECURSIVE_DIVISION,0,21,441,143,8,41
DFS,0,21,67,35,45,47
PRIM,0,21,81,25,33,39
HUNT_AND_KILL,0,21,75,29,38,39
RECURSIVE_DIVISION,0,21,477,120,3,101
DFS,0,21,70,32,42,83
PRIM,0,21,83,30,34,47
HUNT_AND_KILL,0,21,73,30,38,39
RECURSIVE_DIVISION,0,21,461,144,1,47
DFS,0,21,72,33,43,47
PRIM,0,21,81,26,36,39
HUNT_AND_KILL,0,21,72,33,43,39
RECURSIVE_DIVISION,0,21,564,109,15,49
DFS,0,21,66,34,42,63
PRIM,0,21,82,28,34,51
HUNT_AND_KILL,0,21,71,29,40,39
RECURSIVE_DIVISION,0,21,561,116,9,41
DFS,0,21,67,37,43,47
PRIM,0,21,81,28,35,39
HUNT_AND_KILL,0,21,72,30,37,39
RECURSIVE_DIVISION,0,21,431,132,14,43
DFS,0,21,67,34,44,55
PRIM,0,21,86,26,34,39
HUNT_AND_KILL,0,21,73,27,39,39
RECURSIVE_DIVISION,0,21,481,87,9,55
DFS,0,21,68,35,42,59
PRIM,0,21,84,26,33,43
HUNT_AND_KILL,0,21,72,31,40,43
RECURSIVE_DIVISION,0,21,433,121,10,65
DFS,0,21,70,35,46,87
PRIM,0,21,82,29,35,39
HUNT_AND_KILL,0,21,73,30,37,39
RECURSIVE_DIVISION,0,21,497,126,11,69
DFS,0,21,67,34,42,67
PRIM,0,21,82,28,34,39
HUNT_AND_KILL,0,21,74,31,40,39
RECURSIVE_DIVISION,0,21,567,93,12,51
DFS,0,21,67,37,43,51
PRIM,0,21,81,23,32,43
HUNT_AND_KILL,0,21,72,31,41,39
RECURSIVE_DIVISION,0,21,482,95,14,49
DFS,0,21,67,35,45,47
PRIM,0,21,79,23,26,47
HUNT_AND_KILL,0,21,71,23,30,43
RECURSIVE_DIVISION,0,21,456,125,7,45
DFS,0,21,67,34,44,71
PRIM,0,21,82,25,29,39
HUNT_AND_KILL,0,21,74,30,39,39
RECURSIVE_DIVISION,0,21,478,128,5,67
DFS,0,21,71,36,47,47
PRIM,0,21,83,28,31,47
HUNT_AND_KILL,0,21,73,32,44,39
RECURSIVE_DIVISION,0,21,407,121,9,43
DFS,0,21,70,33,44,39
PRIM,0,21,85,27,35,39
HUNT_AND_KILL,0,21,74,26,34,39
RECURSIVE_DIVISION,0,21,475,128,4,63
DFS,0,21,68,33,44,95
PRIM,0,21,82,27,33,43
HUNT_AND_KILL,0,21,72,29,35,39
RECURSIVE_DIVISION,0,21,539,129,5,45
DFS,0,21,68,34,45,67
PRIM,0,21,81,27,33,39
HUNT_AND_KILL,0,21,76,26,36,39
RECURSIVE_DIVISION,0,21,409,112,8,55
DFS,0,21,68,33,44,67
PRIM,0,21,82,25,33,39
HUNT_AND_KILL,0,21,73,29,38,39
RECURSIVE_DIVISION,0,21,532,114,8,81
DFS,0,21,68,36,46,67
PRIM,0,21,81,20,26,39
HUNT_AND_KILL,0,21,74,32,39,43
RECURSIVE_DIVISION,0,21,495,118,12,85
DFS,0,21,68,35,46,83
PRIM,0,21,83,26,33,47
HUNT_AND_KILL,0,21,70,28,35,43
RECURSIVE_DIVISION,0,21,526,118,11,53
DFS,0,21,67,33,44,51
PRIM,0,21,80,29,36,43
HUNT_AND_KILL,0,21,73,31,43,43
RECURSIVE_DIVISION,0,21,466,128,8,89
DFS,0,21,69,33,45,87
PRIM,0,21,84,23,34,51
HUNT_AND_KILL,0,21,72,31,39,39
RECURSIVE_DIVISION,0,21,399,98,9,71
DFS,0,21,67,36,42,39
PRIM,0,21,81,28,35,39
HUNT_AND_KILL,0,21,73,30,37,39
RECURSIVE_DIVISION,0,21,560,117,13,65
DFS,0,21,68,34,44,87
PRIM,0,21,84,30,36,39
HUNT_AND_KILL,0,21,73,36,45,39
RECURSIVE_DIVISION,0,21,566,107,12,43
DFS,0,21,67,38,48,51
PRIM,0,21,85,24,29,47
HUNT_AND_KILL,0,21,71,33,40,39
RECURSIVE_DIVISION,0,21,496,105,13,61
DFS,0,21,72,37,44,103
PRIM,0,21,85,24,33,39
HUNT_AND_KILL,0,21,76,29,37,39
RECURSIVE_DIVISION,0,21,496,101,15,53
DFS,0,21,66,40,48,75
PRIM,0,21,86,32,43,39
HUNT_AND_KILL,0,21,75,32,38,39
RECURSIVE_DIVISION,0,21,543,107,12,89
DFS,0,21,66,34,42,43
PRIM,0,21,85,25,34,47
HUNT_AND_KILL,0,21,70,31,41,43
RECURSIVE_DIVISION,0,21,492,125,9,41
DFS,0,21,67,36,44,87
PRIM,0,21,88,25,32,39
HUNT_AND_KILL,0,21,72,25,37,43
RECURSIVE_DIVISION,0,21,462,91,15,41
DFS,0,21,70,35,46,95
PRIM,0,21,80,26,33,39
HUNT_AND_KILL,0,21,70,32,43,39
RECURSIVE_DIVISION,0,21,445,82,15,39
DFS,0,21,67,37,47,55
PRIM,0,21,91,28,34,51
HUNT_AND_KILL,0,21,75,33,39,39
RECURSIVE_DIVISION,0,21,457,122,10,45
DFS,0,21,68,36,47,95
PRIM,0,21,80,26,33,43
HUNT_AND_KILL,0,21,75,26,36,39
RECURSIVE_DIVISION,0,21,478,109,12,47
DFS,0,21,72,34,44,55
PRIM,0,21,86,27,33,39
HUNT_AND_KILL,0,21,79,28,38,43
RECURSIVE_DIVISION,0,21,473,91,12,39
DFS,0,21,68,38,50,91
PRIM,0,21,85,27,36,55
HUNT_AND_KILL,0,21,74,32,41,39
RECURSIVE_DIVISION,0,21,524,124,7,43
DFS,0,21,71,34,44,59
PRIM,0,21,83,26,34,39
HUNT_AND_KILL,0,21,76,32,38,39
RECURSIVE_DIVISION,0,21,523,93,7,65
DFS,0,21,71,35,43,47
PRIM,0,21,83,30,35,39
HUNT_AND_KILL,0,21,73,35,42,39
RECURSIVE_DIVISION,0,21,491,92,11,55
DFS,0,21,69,35,43,91
PRIM,0,21,82,30,36,43
HUNT_AND_KILL,0,21,72,29,38,47
RECURSIVE_DIVISION,0,21,460,130,15,47
DFS,0,21,67,35,44,51
PRIM,0,21,80,23,29,43
HUNT_AND_KILL,0,21,70,30,40,39
RECURSIVE_DIVISION,0,21,546,118,12,51
DFS,0,21,68,36,43,67
PRIM,0,21,81,29,33,39
HUNT_AND_KILL,0,21,70,31,41,39
RECURSIVE_DIVISION,0,21,410,108,9,75
DFS,0,21,66,37,45,83
PRIM,0,21,81,30,37,39
HUNT_AND_KILL,0,21,72,27,39,39
RECURSIVE_DIVISION,0,21,521,129,8,51
DFS,0,21,69,37,45,47
PRIM,0,21,81,20,29,43
HUNT_AND_KILL,0,21,74,33,42,39
RECURSIVE_DIVISION,0,21,456,130,4,57
DFS,0,21,70,37,46,39
PRIM,0,21,83,29,32,39
HUNT_AND_KILL,0,21,71,27,32,39
RECURSIVE_DIVISION,0,21,442,110,14,45
DFS,0,21,66,36,49,55
PRIM,0,21,80,25,33,43
HUNT_AND_KILL,0,21,74,31,41,39
RECURSIVE_DIVISION,0,21,471,119,13,41
DFS,0,21,69,33,45,59
PRIM,0,21,82,27,31,43
HUNT_AND_KILL,0,21,88,27,36,43
RECURSIVE_DIVISION,0,21,527,94,11,93
DFS,0,21,74,36,45,91
PRIM,0,21,86,27,33,39
HUNT_AND_KILL,0,21,73,31,40,43
RECURSIVE_DIVISION,0,21,394,145,6,59
DFS,0,21,69,35,45,59
PRIM,0,21,82,26,34,43
HUNT_AND_KILL,0,21,72,27,36,39
RECURSIVE_DIVISION,0,21,592,111,10,61
DFS,0,21,67,37,46,63
PRIM,0,21,80,27,36,39
HUNT_AND_KILL,0,21,70,30,42,39
RECURSIVE_DIVISION,0,21,543,88,14,49
DFS,0,21,69,35,43,67
PRIM,0,21,87,28,36,47
HUNT_AND_KILL,0,21,74,28,34,39
RECURSIVE_DIVISION,0,21,534,82,18,79
DFS,0,21,68,35,45,75
PRIM,0,21,83,27,31,43
HUNT_AND_KILL,0,21,72,27,41,43
RECURSIVE_DIVISION,0,21,495,130,6,43
DFS,0,21,67,35,46,51
PRIM,0,21,82,26,33,39
HUNT_AND_KILL,0,21,72,29,39,39
RECURSIVE_DIVISION,0,21,543,108,17,83
DFS,0,21,66,35,43,43
PRIM,0,21,83,25,30,39
HUNT_AND_KILL,0,21,72,30,43,39
RECURSIVE_DIVISION,0,21,462,131,6,77
DFS,0,21,69,34,44,39
PRIM,0,21,80,25,35,43
HUNT_AND_KILL,0,21,77,31,39,39
RECURSIVE_DIVISION,0,21,495,120,12,47
DFS,0,21,68,35,47,87
PRIM,0,21,82,24,32,39
HUNT_AND_KILL,0,21,77,27,37,39
RECURSIVE_DIVISION,0,21,528,113,11,55
DFS,0,21,67,36,42,79
PRIM,0,21,83,28,35,43
HUNT_AND_KILL,0,21,73,31,42,39
RECURSIVE_DIVISION,0,21,425,139,9,77
DFS,0,21,68,36,47,43
PRIM,0,21,84,26,30,39
HUNT_AND_KILL,0,21,77,29,36,47
RECURSIVE_DIVISION,0,21,510,110,11,69
DFS,0,21,70,36,48,47
PRIM,0,21,101,26,30,39
HUNT_AND_KILL,0,21,70,30,39,39
RECURSIVE_DIVISION,0,21,646,107,19,49
DFS,0,21,66,32,44,39
PRIM,0,21,80,27,32,43
HUNT_AND_KILL,0,21,71,30,40,43
RECURSIVE_DIVISION,0,21,424,75,18,61
DFS,0,21,68,35,45,51
PRIM,0,21,82,25,33,39
HUNT_AND_KILL,0,21,74,32,41,39
RECURSIVE_DIVISION,0,21,448,118,6,99
DFS,0,21,68,35,45,51
PRIM,0,21,80,28,37,43
HUNT_AND_KILL,0,21,75,31,40,47
RECURSIVE_DIVISION,0,21,493,117,9,51
DFS,0,21,69,34,47,39
PRIM,0,21,82,29,35,47
HUNT_AND_KILL,0,21,71,29,34,51
RECURSIVE_DIVISION,0,21,527,107,14,45
DFS,0,21,68,35,44,51
PRIM,0,21,84,25,31,39
HUNT_AND_KILL,0,21,70,27,34,39
RECURSIVE_DIVISION,0,21,545,129,5,81
DFS,0,21,68,34,44,75
PRIM,0,21,79,29,37,43
HUNT_AND_KILL,0,21,73,27,36,39
RECURSIVE_DIVISION,0,21,434,125,12,57
DFS,0,21,69,35,43,71
PRIM,0,21,81,27,35,43
HUNT_AND_KILL,0,21,72,30,38,47
RECURSIVE_DIVISION,0,21,611,113,5,43
DFS,0,21,67,37,46,79
PRIM,0,21,83,21,29,43
HUNT_AND_KILL,0,21,70,27,36,39
RECURSIVE_DIVISION,0,21,409,133,9,85
DFS,0,21,67,35,44,67
PRIM,0,21,81,26,36,43
HUNT_AND_KILL,0,21,74,26,37,39
RECURSIVE_DIVISION,0,21,375,100,11,59
DFS,0,21,68,35,44,91
PRIM,0,21,81,28,36,43
HUNT_AND_KILL,0,21,72,27,35,39
RECURSIVE_DIVISION,0,21,508,81,16,61
DFS,0,21,75,32,44,39
PRIM,0,21,85,26,36,47
HUNT_AND_KILL,0,21,69,26,37,39
RECURSIVE_DIVISION,0,21,429,118,8,49
DFS,0,21,70,34,43,95
PRIM,0,21,98,27,35,47
HUNT_AND_KILL,0,21,71,30,38,39
RECURSIVE_DIVISION,0,21,449,128,9,45
DFS,0,21,66,34,46,55
PRIM,0,21,81,29,35,39
HUNT_AND_KILL,0,21,70,29,39,39
RECURSIVE_DIVISION,0,21,488,110,14,41
DFS,0,21,69,36,44,75
PRIM,0,21,84,25,32,39
HUNT_AND_KILL,0,21,75,33,40,39
RECURSIVE_DIVISION,0,21,575,96,14,65
DFS,0,41,223,137,181,279
PRIM,0,41,291,106,131,87
HUNT_AND_KILL,0,41,222,120,152,79
RECURSIVE_DIVISION,0,41,1882,453,36,107
DFS,0,41,233,148,185,123
PRIM,0,41,294,110,136,87
HUNT_AND_KILL,0,41,236,120,147,83
RECURSIVE_DIVISION,0,41,1948,472,29,93
DFS,0,41,243,142,184,295
PRIM,0,41,296,106,127,95
HUNT_AND_KILL,0,41,231,129,152,83
RECURSIVE_DIVISION,0,41,2080,460,46,195
DFS,0,41,218,146,190,267
PRIM,0,41,282,104,130,91
HUNT_AND_KILL,0,41,235,131,155,95
RECURSIVE_DIVISION,0,41,1809,494,35,213
DFS,0,41,227,150,187,183
PRIM,0,41,274,112,130,87
HUNT_AND_KILL,0,41,230,120,153,83
RECURSIVE_DIVISION,0,41,2153,483,30,99
DFS,0,41,235,147,194,135
PRIM,0,41,283,113,133,83
HUNT_AND_KILL,0,41,239,124,156,79
RECURSIVE_DIVISION,0,41,2053,457,48,193
DFS,0,41,224,142,188,127
PRIM,0,41,279,113,134,99
HUNT_AND_KILL,0,41,235,129,150,79
RECURSIVE_DIVISION,0,41,1934,476,34,165
DFS,0,41,225,146,190,275
PRIM,0,41,281,114,143,107
HUNT_AND_KILL,0,41,250,121,154,91
RECURSIVE_DIVISION,0,41,1704,425,36,129
DFS,0,41,222,148,188,203
PRIM,0,41,275,100,119,79
HUNT_AND_KILL,0,41,238,127,146,79
RECURSIVE_DIVISION,0,41,1812,474,33,165
DFS,0,41,218,144,188,111
PRIM,0,41,277,116,133,91
HUNT_AND_KILL,0,41,226,122,147,95
RECURSIVE_DIVISION,0,41,1962,426,49,119
DFS,0,41,229,147,195,283
PRIM,0,41,291,113,126,87
HUNT_AND_KILL,0,41,240,129,158,79
RECURSIVE_DIVISION,0,41,1720,408,44,95
DFS,0,41,220,138,186,259
PRIM,0,41,290,109,131,91
HUNT_AND_KILL,0,41,232,130,163,79
RECURSIVE_DIVISION,0,41,1972,427,33,135
DFS,0,41,228,148,189,95
PRIM,0,41,279,104,130,79
HUNT_AND_KILL,0,41,247,129,152,79
RECURSIVE_DIVISION,0,41,1875,446,42,131
DFS,0,41,222,145,185,207
PRIM,0,41,305,110,134,87
HUNT_AND_KILL,0,41,223,122,148,87
RECURSIVE_DIVISION,0,41,1833,442,34,139
DFS,0,41,230,148,191,187
PRIM,0,41,279,117,135,91
HUNT_AND_KILL,0,41,232,128,154,79
RECURSIVE_DIVISION,0,41,1810,464,41,205
DFS,0,41,222,147,193,267
PRIM,0,41,290,106,127,99
HUNT_AND_KILL,0,41,236,132,159,83
RECURSIVE_DIVISION,0,41,2117,443,42,113
DFS,0,41,224,146,188,131
PRIM,0,41,285,105,124,91
HUNT_AND_KILL,0,41,246,124,158,79
RECURSIVE_DIVISION,0,41,1721,418,41,175
DFS,0,41,227,154,189,159
PRIM,0,41,285,103,125,87
HUNT_AND_KILL,0,41,232,131,158,79
RECURSIVE_DIVISION,0,41,1924,412,35,159
DFS,0,41,221,146,191,199
PRIM,0,41,279,114,131,79
HUNT_AND_KILL,0,41,243,128,154,83
RECURSIVE_DIVISION,0,41,1756,481,33,167
DFS,0,41,228,145,186,119
PRIM,0,41,291,122,139,83
HUNT_AND_KILL,0,41,244,120,149,99
RECURSIVE_DIVISION,0,41,1850,442,41,189
DFS,0,41,236,147,189,267
PRIM,0,41,279,106,122,79
HUNT_AND_KILL,0,41,246,115,140,79
RECURSIVE_DIVISION,0,41,1954,467,41,241
DFS,0,41,228,148,186,295
PRIM,0,41,282,104,130,83
HUNT_AND_KILL,0,41,236,128,154,91
RECURSIVE_DIVISION,0,41,2049,449,42,117
DFS,0,41,238,149,189,131
PRIM,0,41,287,110,139,99
HUNT_AND_KILL,0,41,229,133,163,79
RECURSIVE_DIVISION,0,41,2053,441,42,145
DFS,0,41,220,147,192,151
PRIM,0,41,281,115,133,95
HUNT_AND_KILL,0,41,240,126,158,79
RECURSIVE_DIVISION,0,41,1677,431,46,191
DFS,0,41,223,147,192,163
PRIM,0,41,275,120,141,99
HUNT_AND_KILL,0,41,222,118,150,83
RECURSIVE_DIVISION,0,41,2005,477,29,153
DFS,0,41,221,146,189,171
PRIM,0,41,289,106,127,95
HUNT_AND_KILL,0,41,232,124,154,99
RECURSIVE_DIVISION,0,41,1772,527,35,251
DFS,0,41,232,144,187,303
PRIM,0,41,283,112,136,83
HUNT_AND_KILL,0,41,240,119,147,79
RECURSIVE_DIVISION,0,41,1854,408,42,151
DFS,0,41,223,148,190,95
PRIM,0,41,275,106,128,91
HUNT_AND_KILL,0,41,233,123,147,79
RECURSIVE_DIVISION,0,41,2044,501,39,155
DFS,0,41,222,152,186,191
PRIM,0,41,291,107,133,83
HUNT_AND_KILL,0,41,233,125,155,83
RECURSIVE_DIVISION,0,41,1841,479,26,135
DFS,0,41,219,142,192,175
PRIM,0,41,285,100,122,87
HUNT_AND_KILL,0,41,247,122,142,79
RECURSIVE_DIVISION,0,41,1911,466,39,89
DFS,0,41,228,146,199,123
PRIM,0,41,277,108,134,83
HUNT_AND_KILL,0,41,244,132,151,79
RECURSIVE_DIVISION,0,41,1913,477,25,231
DFS,0,41,228,149,190,211
PRIM,0,41,301,118,135,103
HUNT_AND_KILL,0,41,232,122,148,83
RECURSIVE_DIVISION,0,41,1977,425,41,151
DFS,0,41,224,149,189,147
PRIM,0,41,282,106,124,95
HUNT_AND_KILL,0,41,224,131,154,83
RECURSIVE_DIVISION,0,41,1943,519,35,205
DFS,0,41,214,144,191,115
PRIM,0,41,297,108,132,95
HUNT_AND_KILL,0,41,243,127,152,95
RECURSIVE_DIVISION,0,41,1941,443,29,195
DFS,0,41,215,149,189,139
PRIM,0,41,289,105,124,83
HUNT_AND_KILL,0,41,238,123,160,91
RECURSIVE_DIVISION,0,41,1857,477,33,105
DFS,0,41,236,145,180,191
PRIM,0,41,282,111,137,107
HUNT_AND_KILL,0,41,238,131,162,83
RECURSIVE_DIVISION,0,41,1830,449,53,121
DFS,0,41,224,145,188,107
PRIM,0,41,281,106,124,87
HUNT_AND_KILL,0,41,245,128,158,79
RECURSIVE_DIVISION,0,41,1963,440,43,145
DFS,0,41,230,149,187,211
PRIM,0,41,283,106,127,83
HUNT_AND_KILL,0,41,234,126,166,87
RECURSIVE_DIVISION,0,41,1885,434,45,199
DFS,0,41,224,152,189,287
PRIM,0,41,278,109,129,79
HUNT_AND_KILL,0,41,241,126,155,79
RECURSIVE_DIVISION,0,41,2008,478,41,129
DFS,0,41,218,151,190,299
PRIM,0,41,277,116,136,91
HUNT_AND_KILL,0,41,232,122,147,87
RECURSIVE_DIVISION,0,41,2030,423,36,139
DFS,0,41,219,143,193,107
PRIM,0,41,278,112,136,99
HUNT_AND_KILL,0,41,232,122,150,79
RECURSIVE_DIVISION,0,41,2086,471,36,131
DFS,0,41,223,143,189,191
PRIM,0,41,281,110,127,79
HUNT_AND_KILL,0,41,236,114,149,79
RECURSIVE_DIVISION,0,41,1990,438,33,167
DFS,0,41,222,151,189,115
PRIM,0,41,282,115,132,79
HUNT_AND_KILL,0,41,239,123,154,83
RECURSIVE_DIVISION,0,41,1909,447,45,91
DFS,0,41,232,152,188,235
PRIM,0,41,290,115,133,83
HUNT_AND_KILL,0,41,246,124,148,91
RECURSIVE_DIVISION,0,41,1922,490,39,89
DFS,0,41,223,149,187,179
PRIM,0,41,284,109,126,79
HUNT_AND_KILL,0,41,246,126,162,79
RECURSIVE_DIVISION,0,41,1741,478,34,189
DFS,0,41,225,145,186,291
PRIM,0,41,291,115,130,95
HUNT_AND_KILL,0,41,241,122,152,83
RECURSIVE_DIVISION,0,41,1947,437,49,115
DFS,0,41,231,151,191,235
PRIM,0,41,286,114,134,79
HUNT_AND_KILL,0,41,230,122,151,91
RECURSIVE_DIVISION,0,41,1721,428,48,113
DFS,0,41,232,149,194,195
PRIM,0,41,287,114,128,83
HUNT_AND_KILL,0,41,226,122,152,79
RECURSIVE_DIVISION,0,41,1829,471,38,111
DFS,0,41,216,147,188,103
PRIM,0,41,274,113,140,83
HUNT_AND_KILL,0,41,232,123,150,79
RECURSIVE_DIVISION,0,41,1835,465,29,97
DFS,0,41,222,147,190,203
PRIM,0,41,281,104,125,83
HUNT_AND_KILL,0,41,240,119,147,79
RECURSIVE_DIVISION,0,41,1862,528,45,101
DFS,0,41,231,155,188,135
PRIM,0,41,291,97,123,83
HUNT_AND_KILL,0,41,237,126,149,79
RECURSIVE_DIVISION,0,41,1792,516,21,177
DFS,0,41,219,149,193,159
PRIM,0,41,284,105,126,87
HUNT_AND_KILL,0,41,233,118,148,87
RECURSIVE_DIVISION,0,41,1856,451,39,125
DFS,0,41,230,149,194,179
PRIM,0,41,283,116,140,83
HUNT_AND_KILL,0,41,237,125,149,87
RECURSIVE_DIVISION,0,41,2080,492,39,123
DFS,0,41,221,143,187,123
PRIM,0,41,290,102,122,111
HUNT_AND_KILL,0,41,245,133,156,91
RECURSIVE_DIVISION,0,41,1870,455,51,199
DFS,0,41,220,150,186,119
PRIM,0,41,290,115,135,79
HUNT_AND_KILL,0,41,236,126,153,91
RECURSIVE_DIVISION,0,41,2263,453,38,141
DFS,0,41,221,142,192,151
PRIM,0,41,287,102,125,103
HUNT_AND_KILL,0,41,232,122,152,79
RECURSIVE_DIVISION,0,41,1999,449,41,159
DFS,0,41,222,141,192,223
PRIM,0,41,278,108,126,83
HUNT_AND_KILL,0,41,234,125,155,79
RECURSIVE_DIVISION,0,41,1991,419,43,175
DFS,0,41,226,145,191,151
PRIM,0,41,277,105,122,91
HUNT_AND_KILL,0,41,226,126,153,79
RECURSIVE_DIVISION,0,41,1733,402,35,237
DFS,0,41,215,147,185,215
PRIM,0,41,276,108,127,103
HUNT_AND_KILL,0,41,239,125,153,83
RECURSIVE_DIVISION,0,41,2009,465,38,215
DFS,0,41,220,148,192,191
PRIM,0,41,305,107,121,91
HUNT_AND_KILL,0,41,228,124,154,91
RECURSIVE_DIVISION,0,41,2084,384,39,161
DFS,0,41,222,146,189,203
PRIM,0,41,276,108,128,95
HUNT_AND_KILL,0,41,242,126,155,79
RECURSIVE_DIVISION,0,41,1791,506,42,155
DFS,0,41,221,143,184,235
PRIM,0,41,297,104,128,83
HUNT_AND_KILL,0,41,242,136,157,79
RECURSIVE_DIVISION,0,41,2074,425,41,149
DFS,0,41,227,152,191,171
PRIM,0,41,281,116,137,79
HUNT_AND_KILL,0,41,235,126,159,79
RECURSIVE_DIVISION,0,41,1853,462,39,193
DFS,0,41,216,148,190,243
PRIM,0,41,289,108,127,111
HUNT_AND_KILL,0,41,235,124,152,79
RECURSIVE_DIVISION,0,41,1913,443,29,239
DFS,0,41,229,146,189,279
PRIM,0,41,293,104,127,91
HUNT_AND_KILL,0,41,224,126,155,95
RECURSIVE_DIVISION,0,41,1837,448,36,105
DFS,0,41,226,147,192,223
PRIM,0,41,278,106,126,83
HUNT_AND_KILL,0,41,227,121,156,87
RECURSIVE_DIVISION,0,41,1827,389,43,153
DFS,0,41,236,149,192,191
PRIM,0,41,290,110,142,91
HUNT_AND_KILL,0,41,241,120,146,87
RECURSIVE_DIVISION,0,41,2126,419,47,123
DFS,0,41,221,150,187,291
PRIM,0,41,289,106,123,83
